tittle,instructor
Selenium WebDriver with Python Crash Course,Admas Kinfu
Master Web Scraping with Python,Sats Sehgal
Apache Airflow: The Hands-On Guide,Marc Lamberti
The Complete Hands-On Introduction to Apache Airflow,Marc Lamberti
MongoDB Essentials - Understand the Basics of MongoDB,Patrick Schroeder
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Colt Steele
DOCKER | Step by Step for Beginners | with Sample Project,Raghav Pal
Apache Kafka for Beginners - Learn Kafka by Hands-On,Pragmatic Code School
Python: Everything you need to know to become a developer,Experts with David Bombal
Production Ready Kubernetes setup for CI/CD - DevOps project,Praveen Kumar
Kubernetes Made Easy,Srinath Challa
Apache Airflow on AWS EKS: The Hands-On Guide,Marc Lamberti
Scala & Functional Programming for Beginners | Rock the JVM,Daniel Ciocîrlan
Spark 3.0 & Big Data Essentials with Scala | Rock the JVM,Daniel Ciocîrlan
Advanced Scala and Functional Programming | Rock the JVM,Daniel Ciocîrlan
Deep Learning A-Z™: Hands-On Artificial Neural Networks,Kirill Eremenko
Artificial Intelligence A-Z™: Learn How To Build An AI,Hadelin de Ponteves
User Experience (UX) Fundamentals,Susan Weinschenk
Fundamentals of User Interface Design,Ahmet Efeoğlu
Figma UI/UX design in one hour,Sivaram Nalliboyana
How to Start a Startup / Business,Julien Meyer
Learn Kubernetes Docker/DevOps and helm charts from scratch,Jan Toth
Deep Learning and NLP A-Z™: How to create a ChatBot,Hadelin de Ponteves
Object Oriented Programming Using Java and Intellij Hands-On,Faisal Memon
Java Programming: Complete Beginner to Advanced,CodeIn Academy
Logistic Regression Practical Case Study,Hadelin de Ponteves
Interactive Python Dashboards with Plotly and Dash,Jose Portilla
C++ Tutorial for Complete Beginners,John Purcell
Data Structures & Algorithms !,DS Guy
Build and Deploy a LAMP server on AWS,Vishu Kamble
Selenium Webdriver: What are Implicit and Explicit Waits,Nikolay Advolodkin
Java Tutorial for Complete Beginners,John Purcell
Scala and Spark 2 - Getting Started,Durga Viswanatha Raju Gadiraju
Scratch Game Programming for Young Adults,"Al Sweigart, Software developer"
Getting Started with Apache Flink,Inflame Tech
AngularJS 1.0 Masterclass - Deep Dive & Understand AngularJS,Sandip Gautam
Learn BERT - most powerful NLP algorithm by Google,Martin Jocqueviel
Learn and Understand D3.js for Data Visualization,Luis Ramirez Jr
"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",Hadelin de Ponteves
Apache Airflow using Google Cloud Composer: Introduction,"Guha Rajan M., B.Engg"
Apache Airflow | A Real-Time & Hands-On Course on Airflow,A to Z Mentors
A to Z (NLP) Machine Learning Model building and Deployment.,Mohammed Rijwan
Data Science: Natural Language Processing (NLP) in Python,Lazy Programmer Inc.
Natural Language Processing with Deep Learning in Python,Lazy Programmer Team
Data Science A-Z™: Real-Life Data Science Exercises Included,Kirill Eremenko
Regex Academy: An Introduction To Text Parsing Sorcery,geek alicious
The Ultimate Hands-On Hadoop: Tame your Big Data!,Sundog Education by Frank Kane
Data Processing with Logstash (and Filebeat),Bo Andersen
"Complete ElasticSearch with LogStash, Hive, Pig, MR & Kibana",DataShark Academy
Getting Started with Elasticsearch,Sezin Karli
"AWS DevOps CI/CD - CodePipeline, Elastic Beanstalk and Mocha",BackSpace Academy
Master Big Data - Apache Spark/Hadoop/Sqoop/Hive/Flume,Navdeep Kaur
Wordpress for Web Development,Framework Television Inc.
Building a Ruby on Rails Application with Neo4j,Brian Underwood
OrientDB - Getting Started with Graph and Document Databases,OrientDB Team
Learn Devops Kubernetes deployment by kops and terraform,Jan Toth
Build a Streaming Twitter Filter with Python and Redis,Ty Shaikh
Getting Started as a Web Developer,RefactorU LLC
Javascript for Beginner Boot up Skill Solve 30 Problems,Tan Pham
Flask Tutorial Step by Step,Santiago Basulto
Kubernetes: Getting Started,Srinath Challa
Scala and Spark for Big Data and Machine Learning,Jose Portilla
GCP: Complete Google Data Engineer and Cloud Architect Guide,"Loony Corn, An ex-Google"
Machine Learning A-Z™: Hands-On Python & R In Data Science,Kirill Eremenko
Shopify eCommerce Cash Machine,Jennie Campbell
Linux Fundamentals for IT Professionals,Durga Viswanatha Raju Gadiraju
Deep Learning Prerequisites: The Numpy Stack in Python (V2+),Lazy Programmer Inc.
Python eCommerce | Build a Django eCommerce Web Application,Justin Mitchel
Apache Spark Streaming with Python and PySpark,Level Up Big Data Program
Cloudera CCA 175 Spark Developer Certification: Hadoop Based,Dhruv Bais
Apache SQOOP for Big Data Hadoop Beginners,DataShark Academy
Spark Starter Kit,Hadoop In Real World
Apache Sqoop for Certifications - CCA and HDPCD,Durga Viswanatha Raju Gadiraju
Big data Internship Program - Foundation,Big Data Trunk
E-Commerce Website in PHP & MySQL From Scratch!,Abdul Wali
Grafana and Graphite from Beginner to Advanced (3rd Edition),Aref K.
Introduction to Databases and SQL Querying,Rakesh Gopalakrishnan
Level 1 Intelligence Analyst Certification,Robert Folker
Setup Big Data Development Environment,Durga Viswanatha Raju Gadiraju
Advanced Databases and SQL Querying,Rakesh Gopalakrishnan
Hadoop Starter Kit,Hadoop In Real World
Unpacking the Internet of Things (IoT),Ayora Berry
New Business Markets in the Internet of Things (IoT),Ayora Berry
How To Create A Wordpress Website  |  Divi 2016 outdated,Jarrod Field
Introduction to Internet of Things and Cloud,Future Tech Lab
A Simple Framework for Designing IoT Products,Ayora Berry
Fundamentals of IoT Development with ThingWorx Version 7.4,Mark Cheli
Amazon Web Services (AWS) - Zero to Hero,BackSpace Academy
Affiliate Marketing & Ad Tracking with LinkTrackr,Gerald Krishnan
Introduction to PLC's [Programmable Logic Controllers]-07-21,Dr. Oscar Rodriguez
The Ultimate GIT 5-day Challenge,Brian Gorman
Wireframing & Prototyping Free Balsamiq Alternative - Pencil,Amir Elion
Beginners Digital Illustration with Krita,Paul Gieske
Getting Started with Balsamiq Wireframes,Leon Barnard
Mockup interattivo di un sito web con Sketch e Invision,Luca Pagot
Cyber Criminals Want Your Information: Stop Them Cold!,Jeremy Oconnell
Visual Paradigm Essential,Visual Paradigm
Advance Android Programming - learning beyond basics,Learning Kart
Python for Data Science and Machine Learning Bootcamp,Jose Portilla
Learn Russian Language - Russian For Beginners,"Ilona Protchenko, M.A. in Philology"
Chinese In 9 Weeks | Introduction Course,Felix Lättman
Russian Made Easy - Accelerated Learning for Russian,Mastery Group
Complete Wordpress Course For Beginners,Ferdy Korpershoek
Learn C++ by Creating,Andrew Volk
Ruby for Absolute Beginners!,Ashok Tulachan
Kabbalah Level 1: Step on the Ladder,"Gilad James, PhD"
Wing Chun Self Defence FREE - Wing Chung Street Fighting,David Wong
iOS App Development For Beginners - No Swift Skill Required,Dee Aliyu Odumosu
FREE Online Security & Privacy Awareness Training - BSAFE!,Piotr Zalewski
Geospatial Image Visualization with PCI Geomatics,Jean-Sébastien Bouffard
Course for Freelancers targeting North America clients,"Lior Izik, Lior Izik Zoho"
Learn HTML and CSS by Examples,Jan Zavrel
Angular 2 - Superheroic Framework,Maruti Makwana
"Create Free, Fast and Secure Static Website",Jan Zavrel
Learn Python: Build a Virtual Assistant,Adam Eubanks
Java Selenium Cucumber Framework Part 1,Maroš Kutschy
Manage a hosted website (Quick Guide),Moe Tork
Know The Hebrew Alphabet,"Guy B.M, Hebrew Teacher"
Twitter for Business,Eric Schwartzman
IFRS Conceptual Framework for Financial Reporting,Tabaldi Accounting Education
Piano Tutorial : Ludovico Einaudi - Una Mattina,Dilhan Sener
Robot Framework|RIDE & Selenium - Step by Step for Beginners,Raghav Pal
Git Started with GitHub,Jason Taylor
Learn Git: Everything You Need To Know,Adam Eubanks
Learn Bootstrap: Design a Custom Landing Page in Bootstrap 4,Adam Eubanks
"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",Adam Eubanks
Git and GitHub - Step by Step for Beginners,Raghav Pal
Katalon Studio - Step by Step for Beginners,Raghav Pal
Short and Sweet: Get Started with Git and GitHub Right Now,Stephanie Losi
Getting Started With Git: Key Concepts for Beginners,Linux Academy
Introduction to CSS Development,RefactorU LLC
Introduction to JavaScript Development,RefactorU LLC
AWS Essentials,Linux Academy
AWS Concepts,Linux Academy
AWS Certified Solutions Architect Associate Introduction,Premraj Jeyaprakash
Amazon Web Services - Learning and Implementing AWS Solution,Dhruv Bais
Learn Amazon Web Services (AWS): The complete introduction,Level Up Cloud
AWS Certified Cloud Practitioner 2021,Zeal Vora
Cloud Computing With Amazon Web Services,Karan Brar
AWS Kinesis Streams With Hands on Labs,Premraj Jeyaprakash
EU Privacy Laws & AWS: Build Compliant Data Architectures,AWS Data Consultant
Intro to AWS CloudFormation with WordPress Sample Lab,Nick G.
AWS Certified Associate (All 3) - VPC Security Mastery,DolfinED Transforming Lives Through Learning
The Complete Swift iOS Developer - Create Real Apps in Swift,Grant Klimaytys
How to use Facebook Ads & Instagram to generate ROI,Avijit Arya
Digital Marketing for Authors- Branding via Blog commenting,Harshajyoti Das
2017 Affiliate Marketing Success with Facebook Live Ads,Aparaj Rudra Paul
Facebook Ads For Shopify - Step-By-Step Setup For Beginners,Rohan Dhawan
Introduction To Advanced Facebook Advertising,Rohan Dhawan
Fast Start Guide to Facebook Ads 2018,tj fox
Introduction to Business Ownership,America's Small Business Development Center at West Texas A&M University
The Cornerstones of business survival,Lawrence Hamilton
Conscious Business: Work & Succeed with Purpose & Fulfilment,Conscious Business Institute - Peter Matthies
Business Administration for Your Business - BUS102,CreateUp Academy
Growth Hacking: Free Tools For Small Business Owners,Nathalie Chantal de Ahna
Python and Spark - Setup Development Environment,Durga Viswanatha Raju Gadiraju
Learn C++ Programming,MKCL India
Power BI - The Ultimate Orientation,Paula Guilfoyle CPA & MVP
SAP BusinessObjects Business Intelligence - An Introduction,Phillip Burton
What Is Business Analysis for Information Technology (IT),Tom and Angela Hathaway
Three Emerging Careers in Digital Business Analysis,Tom and Angela Hathaway
Alteryx Hands-on A-Z™: Self-Service for Data Science (2019),Imran Saifi
IoT and Industry 4.0: Arduino Smart Products Tutorial,Dr.-Ing. Christian Magnus
Introduction to Data Analysis for Government,Socrata Data Academy
Planning for Data Collection,SocialCops Academy
Understanding Data Quality and Reference Data Management,Adastra Academy
Beginner PHP and MySQL Tutorial,Infinite Skills
Build CRUD Application - PHP & Mysql,Akram Abdulrazaq
Building a Search Engine in PHP & MySQL,Abdul Wali
Fraud Awareness Training,Centre for Research into Advanced Fraud and Future Threats
Fraud Auditing untuk Pemula,Bina Nusantara University
Getting started with Vuejs for development,Femi Ibiwoye
Introduction to networking for complete beginners,Marious Kuriata
"Start Kali Linux, Ethical Hacking and Penetration Testing!",Ermin Kreponic
HTML5 and CSS3 Fundamentals,Stone River eLearning
Ansible Essentials: Simplicity in Automation,"Red Hat, Inc."
Arduino Workshop 2018 | A step-by-step Arduino how-to guide,Core Electronics
Build+Deploy+Test with Jenkins 2.0,"Karthik KK, Software Architect"
Learn ETL using SSIS,Rakesh Gopalakrishnan
Build Your Own Cyber Lab at Home,Kyle Slosek
"TCP, HTTP and SPDY Deep Dive",Ivan Pepelnjak
Learn Data Analysis with Python Pandas,Tony Staunton
Java Database Connection: JDBC and MySQL,Chad Darby
Database modeling with golang & postgresql,VJ Bambhaniya
Learn Amazon Web Services (AWS) easily to become Architect,Kaushik Vadali
Java for Mobile Devices - iOS/Android/Win (Phones & Tablets),Shai Almog
"Apache Kafka and Spring Boot (Consumer, Producer)",Arbi Elezi
Apache Flume - Ingesting log data into Hadoop and Kafka,Durga Viswanatha Raju Gadiraju
Getting Started with Apache Ambari,Techno Crats
React vs Angular vs Vue.js by Example,Gary Simon
Angularjs for Beginners,Shivprasad Koirala
Getting Started with Apache Superset,Amit Singh
Build a chatbot for your business in 3 hours,Jack Chan
Build Full Download Manager | Python & PyQt5,Mahmoud Ahmed
Learn Deep Learning From Scratch,Shokal Shah
Linked List Data Structure using Python,Febin George
Python Flask for Beginners: Build a CRUD web app using Flask,Febin George
Python OOP : Four Pillars of OOP in Python 3 for Beginners,Febin George
Programming with Python : HandsOn Introduction for Beginners,Febin George
Ultimate Google Professional Cloud Network Engineer 2020,Google Cloud Platform Gurus !
Ultimate Google Certified Professional Cloud Architect 2020,Google Cloud Platform Gurus !
Ultimate Google Certified Associate Cloud Engineer 2020,Google Cloud Platform Gurus !
Natural Language Processing (NLP) with BERT,Hadelin de Ponteves
Artificial Neural Network for Regression,Hadelin de Ponteves
Build a chatbot for your business in 3 hours,Jack Chan
Build Full Download Manager | Python & PyQt5,Mahmoud Ahmed
Learn Deep Learning From Scratch,Shokal Shah
Linked List Data Structure using Python,Febin George
Python Flask for Beginners: Build a CRUD web app using Flask,Febin George
Python OOP : Four Pillars of OOP in Python 3 for Beginners,Febin George
Programming with Python : HandsOn Introduction for Beginners,Febin George
Ultimate Google Professional Cloud Network Engineer 2020,Google Cloud Platform Gurus !
Ultimate Google Certified Professional Cloud Architect 2020,Google Cloud Platform Gurus !
Ultimate Google Certified Associate Cloud Engineer 2020,Google Cloud Platform Gurus !
Natural Language Processing (NLP) with BERT,Hadelin de Ponteves
Artificial Neural Network for Regression,Hadelin de Ponteves
Build a chatbot for your business in 3 hours,Jack Chan
Build Full Download Manager | Python & PyQt5,Mahmoud Ahmed
Learn Deep Learning From Scratch,Shokal Shah
Linked List Data Structure using Python,Febin George
Python Flask for Beginners: Build a CRUD web app using Flask,Febin George
Python OOP : Four Pillars of OOP in Python 3 for Beginners,Febin George
Programming with Python : HandsOn Introduction for Beginners,Febin George
Ultimate Google Professional Cloud Network Engineer 2020,Google Cloud Platform Gurus !
Ultimate Google Certified Professional Cloud Architect 2020,Google Cloud Platform Gurus !
Ultimate Google Certified Associate Cloud Engineer 2020,Google Cloud Platform Gurus !
Natural Language Processing (NLP) with BERT,Hadelin de Ponteves
Artificial Neural Network for Regression,Hadelin de Ponteves
